alu_customer_number,alu_customer_account_code,alu_customer_account_name,alu_financial_customer_group_code,alu_financial_customer_group_name,alu_legal_name,created_date,created_user,modified_date,modified_user,nokia_account_id,nokia_legal_account_name,x_mark,x_mark_err
1000017910,CHE0099,BKW FMB ENERGIE AG CHE,CXP2I,VM UTILITIES-CHE,BKW ENERGIE AG,1518266720000000,,1518266720000000,,301030257,Bkw Energie AG,true,
1000056453,ESP0389,TRANSPORT SPAIN,CXPEK,VM TRANSPORT-ESP,IDOM INGENIERIA Y CONSULTORIA S.A.U,1518266720000000,,1518266720000000,,301006517,Metro De Madrid S.A.,,
1000044356,USAT952,SATELLITE,CXQS8,SATELLITE-USA,GAMMA PURCHASING LLC,1518266720000000,,1518266720000000,,301005487,Gamma Purchasing LLC,true,
1000011352,HKG6439,MCI ASIA PACIFIC LTD.,C6439,VERIZON WIRELINE-HKG,VERIZON HONG KONG LTD,1518266720000000,,1518266720000000,,301007741,Verizon Hong Kong Ltd.,true,
1000061959,SAU9999,OTHER CUSTOMERS IN SAUDI ARABIA,CSAU9,OTHER CUSTOMERS IN SAUDI ARABIA,MUJU,1519213588000000,,1519213588000000,,301000001,Deactivated fALU Prospects,,
1000032769,IDNV674,TEPS O&G-ID,CXPSM,TEPS O&G-IDN,PT JASNIKOM GEMANUSA,1518266720000000,,1518266720000000,,301009132,PT Jasnikom Gemanusa,true,
301005200,,,,,Fundacion Tecnalia Research & Innovation,1519213588000000,,1519213588000000,,301005200,Fundacion Tecnalia Research & Innovation,true,
1000048976,AUSA274,IBM-AUS,C0155,IBM-AUS,IBM GLOBAL FINANCING AUSTRALIA LIMITED,1518266720000000,,1518266720000000,,301005104,IBM Australia Ltd.,true,
1000047428,USAX464,TXLE WEST-USA,CXQS2,TXLE WEST-USA,MEGAPATH INC,1518266720000000,,1518266720000000,,301000970,Megapath Corporation,true,
1000068862,USAXXX1,END CUSTOMERS SP IN UNITED STATES OF AMERICA,CUS11,END CUSTOMERS SP IN UNITED STATES OF AMERICA,DATA STREAM MOBILE TECHNOLOGIES,1524215165000000,,1524215164000000,,301034722,NAM End Customers,,
1000031609,GBRW021,OTHER TECHNICAL XTRA LARGE ENTERPRISE-GBR,CXPZ5,OTHER TECHNICAL XTRA LARGE ENTERPRISE-GBR,NEC EUROPE LTD.,1518266720000000,,1518266720000000,,301031291,NEC Europe Ltd.,true,
1000046645,BRAV630,VM-OG-BR,CXPRZ,VM OIL AND GAS-BRA,PETROLEO BRASILEIRO S A PETROBRAS,1518266720000000,,1518266720000000,,301001458,Petroleo Brasileiro S.A.,,
1000065194,THA9999,OTHER CUSTOMERS IN THAILAND,CTHA9,OTHER CUSTOMERS IN THAILAND,"TRUE INTERNET CO.,LTD.",1518266720000000,,1518266720000000,,301033197,"True Internet Co.,Ltd.",true,
1000068012,CHNX152,TXLE-CHN,CXQM6,TXLE-CHN,CITIC,1518266720000000,,1518266720000000,,301036372,CITIC,true,
1000054753,BFAV126,IPS-PUB-BF,CXP7P,VM PUBLIC SECTOR-BFA,KANAZOE FRERES,1518266720000000,,1518266720000000,,301009848,Kanazoe Freres,true,
1000060870,NZLX146,TXLE-NZL,CXQM0,TXLE-NZL,ASB BANK LIMITED,1518266720000000,,1518266720000000,,301007842,ASB Bank Limited,true,
1000053457,POLU672,IPS-CHAN BME-PL,CXQC6,VM UTILITIES-CHAN-POL,QUMAK S.A.,1518266720000000,,1518266720000000,,301031470,Qumak S.A.,true,
1000068302,GLPT006,OTHER SERV. PROV.-FREE-GLP-MTQ,CXRBP,OTHER SERV. PROV.-FREE-GLP,FREE CARAIBE,1519213588000000,,1519213588000000,,301036649,Free Caraibe,true,
1000010158,NLDW273,VERIZON WIRELINE-NLD-21+ PASS 2,C0243,VERIZON WIRELINE-NLD,MCI NEDERLAND B.V.,1518266720000000,,1518266720000000,,301031195,MCi Netherlands B.V.,true,
1000058682,KEN9998,OTHER SERV. PROVIDERS-KEN,C0801,OTHER SERV. PROVIDERS-KEN,JAMII TELECOMMUNICATIONS LTD,1518266720000000,,1518266720000000,,301006540,Jamii Telecommunications Ltd,true,
1000052583,USAV328,TEPS GOVERNMENT-USA,CXPCG,TEPS GOVERNMENT-USA,ILLINOIS DEPARTMENT OF INNOVATION AND TECHNOLOGY,1518266720000000,,1518266720000000,,301035242,State of Illinois,true,
1000066764,AREX821,SRG GEPS CEWA,CXR5K,GEPS-PUB-CHAN-CEWA-ARE,SRG RWANDA,1518266720000000,,1518266720000000,,301035137,Sheikh Rakadh Group GEPS,true,
301012851,,,,,Airtel Malawi Limited (ON),1519213588000000,,1519213588000000,,301012851,Airtel Malawi Limited (ON),true,
1000051731,JPNX962,TEPS TRAN-JPN,CXR9M,TEPS TRAN-JPN,TOKYU CORPORATION,1518266720000000,,1518266720000000,,301009554,Tokyu Corporation,true,
1000004812,CHEZZZ5,INTERCO CONSO-CHE,CZZZ5,INTERCO CONSO,ALCATEL STANDARD AG,1518266720000000,,1518266720000000,,301000002,Account ID for Internal Customers,,
1000040120,ETHU793,ETHIOPIAN ELECTRIC POWER CORPORATION,CXP35,VM UTILITIES-ETH,ETHIOPIAN ELECTRIC POWER CORPORATIO,1518266720000000,,1518266720000000,,301034343,Ethiopian Electric Power Corporatio,true,
1000044725,USAV328,TEPS GOVERNMENT-USA,CXPCG,TEPS GOVERNMENT-USA,ATLANTIC COUNTY GOVERNMENT,1518266720000000,,1518266720000000,,301000592,Atlantic County Government,true,
1000061990,BRA0011,TIM BRASIL,C4684,TELECOM ITALIA-SP-BRA,TIM CELULAR S.A.,1518266720000000,,1518266720000000,,301000190,TIM Celular S.A.,,
1000041192,ECU9997,ENTERPRISE-ECU,C0579,ENTERPRISE-INDIRECT-ECU,TELPROYEC CIA. LTDA.,1518266720000000,,1518266720000000,,301032330,Telproyec Cia. Ltda.,true,
1000001231,AUSZZZ5,INTERCO CONSO-AUS,CZZZ5,INTERCO CONSO,ALCATEL-LUCENT AUSTRALIA LIMITED,1518266720000000,,1518266720000000,,301000002,Account ID for Internal Customers,,
1000012158,CHNW488,CHINA TELECOM-CN-GUANGDONG,CXQTZ,CHINA TELECOM-GD-CHN,CHINA TELECOM CORPORATION LIMITED GUANGDONG BRANCH,1518266720000000,,1518266720000000,,301000337,Guangdong Telecom Co. Ltd,true,
1000062745,BRAW819,VM TRANSPORT-INDIRECT-BRA,CXQD0,VM TRANSPORT-INDIRECT-BRA,CONNECT SOLUTIONS TELECOMUNICACAO E INFORMATICA LTDA,1518266720000000,,1518266720000000,,301034443,Connect Solutions Telecomunicacao,true,
1000026090,USAV646,TEPS UTILITIES-USA,CXP6Q,TEPS UTILITIES-USA,E.ON U.S. SERVICES INC,1518266720000000,,1518266720000000,,301035843,CARES Contracts TEPS Energy,,
1000017672,LBNU922,IPS-ENE-LBN,CXP4C,VM UTILITIES-LBN,SOLIDERE,1518266720000000,,1518266720000000,,301002795,Solidere Project,true,
1000018615,BRAV134,VM-PUB-BR,CXP7W,VM PUBLIC SECTOR-BRA,"BARBOSA, MUSSNICH & ARAGAO ADVOGADOS",1518266720000000,,1518266720000000,,301007880,Barbosa Mussnich & Aragao Advogados,true,
A012,,,,,A012,1519213588000000,,1519213588000000,,A012,A012,true,
1000047754,NZL9998,OTHER SERV. PROVIDERS-NZL,C0844,OTHER SERV. PROVIDERS-NZL,TWO DEGREES MOBILE LIMITED,1518266720000000,,1518266720000000,,301003148,Two Degrees Mobile Limited,true,
1000026072,USAX464,TXLE WEST-USA,CXQS2,TXLE WEST-USA,DISCOVER FINANCIAL SERVICES INC,1518266720000000,,1518266720000000,,301032976,Discover Financial S,true,
1000069031,BRAV630,VM-OG-BR,CXPRZ,VM OIL AND GAS-BRA,COFIC - POLO PETROQUIMICO CAMACARI,1524298866000000,CLOUDEDH,1524288074000000,CLOUDEDH,301037108,COFIC - Polo Petroquimico Camacari,true,
1000031700,PAN0024,"SAC PANAMA, S.A.",CX20J,LEVEL 3-PAN,"LEVEL 3 PANAMA, INC.",1518266720000000,,1518266720000000,,301035017,"Level 3 Panama, Inc.",true,
1000046638,USAX464,TXLE WEST-USA,CXQS2,TXLE WEST-USA,SEARS HOLDINGS CORPORATION,1518266720000000,,1518266720000000,,301000469,Sears Holdings Corporation,true,
1000026054,USAW027,TXLE EAST-USA,CXPYH,TXLE EAST-USA,DATATEK APPLICATIONS INC,1518266720000000,,1518266720000000,,301000465,Datatek Applications Inc,true,
1000067145,ITAW725,OTHER TECHNICAL XTRA LARGE ENTERPRISE (TXLE)-ITA,CXQA2,OTHER TECHNICAL XTRA LARGE ENTERPRISE-ITA,CNH INDUSTRIAL,1518266720000000,,1518266720000000,,301035481,CNH Industrial,true,
301002427,,,,,MATRIX International,1519213588000000,,1519213588000000,,301002427,MATRIX International,true,
1000029177,DEUT876,GERMAN ARMY,CXP8K,VM PUBLIC SECTOR-DEU,BWI SERVICES GMBH,1518266720000000,,1518266720000000,,301000795,BWI Informationstechnik GmbH,,
1000042427,MEXA9B5,NON TRADE-MEX,CXIJY,NON TRADE-MEX,JORGE FLORES VAZQUEZ,1518266720000000,,1518266720000000,,301000595,NON TRADE LAT Customers,,
1000003386,PRI0005,REGIONALS TELEFONICA-PRI,C8537,REGIONALS TELEFONICA-PRI,TELEFONICA LARGE DISTANCIA DE PUERTO RICO,1518266720000000,,1518266720000000,,301000423,Movistar Larga Distancia Puerto Rico,,
1000053268,HUNW723,OTHER TECHNICAL XTRA LARGE ENTERPRISE (TXLE)-HUN,CXQA0,OTHER TECHNICAL XTRA LARGE ENTERPRISE-HUN,SZABADHAJDU NONPROFIT KFT.,1518266720000000,,1518266720000000,,301031729,Szabadhajdu Nonprofit Kft.,true,
1000034567,ITA0026,PUBLIC ADMINISTRATION,CXP9N,VM PUBLIC SECTOR-ITA,INSIEL S.P.A.,1518266720000000,,1518266720000000,,301030915,Insiel S.P.A.,true,
